2026-01-13 17:00:26,954 | INFO | movie_kpis | KPI 'Highest Profit' result: Avatar (2686.706026)
2026-01-13 17:00:26,954 | INFO | movie_kpis | Computing KPI: Lowest Profit
2026-01-13 17:00:26,955 | INFO | movie_kpis | KPI 'Lowest Profit' result: Star Wars: The Last Jedi (1032.69883)
2026-01-13 17:00:26,956 | INFO | movie_kpis | Computing KPI: Highest ROI (Budget >= 10M)
2026-01-13 17:00:26,957 | INFO | movie_kpis | Applied filter: budget_musd_num >= 10 (remaining rows: 18)
2026-01-13 17:00:26,960 | INFO | movie_kpis | KPI 'Highest ROI (Budget >= 10M)' result: Avatar (11.33631234599156)
2026-01-13 17:00:26,960 | INFO | movie_kpis | Computing KPI: Lowest ROI (Budget >= 10M)
2026-01-13 17:00:26,961 | INFO | movie_kpis | Applied filter: budget_musd_num >= 10 (remaining rows: 18)
2026-01-13 17:00:26,962 | INFO | movie_kpis | KPI 'Lowest ROI (Budget >= 10M)' result: Star Wars: The Last Jedi (3.4423294333333336)
2026-01-13 17:00:26,962 | INFO | movie_kpis | Computing KPI: Most Voted
2026-01-13 17:00:26,964 | INFO | movie_kpis | KPI 'Most Voted' result: The Avengers (35023)
2026-01-13 17:00:26,964 | INFO | movie_kpis | Computing KPI: Highest Rated (Votes >= 10)
2026-01-13 17:00:26,965 | INFO | movie_kpis | Applied filter: vote_count >= 10 (remaining rows: 18)
2026-01-13 17:00:26,966 | INFO | movie_kpis | KPI 'Highest Rated (Votes >= 10)' result: Avengers: Endgame (8.238)
2026-01-13 17:00:26,966 | INFO | movie_kpis | Computing KPI: Lowest Rated (Votes >= 10)
2026-01-13 17:00:26,967 | INFO | movie_kpis | Applied filter: vote_count >= 10 (remaining rows: 18)
2026-01-13 17:00:26,968 | INFO | movie_kpis | KPI 'Lowest Rated (Votes >= 10)' result: Jurassic World: Fallen Kingdom (6.536)
2026-01-13 17:00:26,969 | INFO | movie_kpis | Computing KPI: Most Popular
